tweetid,text,spots
38718458162184192,"Someone hit me at the slopes yesterday, so no more snowboarding this week! My neck hurts :(","['me', 'week', 'hit', 'neck', 'this', 'this week', 'yesterday', 'hit me', 'hurts', 'snowboarding', 'slopes', 'more', 'no more']"
43599931201687552,"Sears 4Q earnings fall, adj. results top Street - http://newzfor.me/0/24","['top Street', 'ad', 'top', '4Q', 'Sears', 'Street', 'earnings', 'fall']"
25426785378242560,  http://on.fb.me/hZR1UJ,[]
7168563521527808,Infinite Arms now only $6.99 at Amazon MP3 (http://amzn.to/f11iFt ) for rest of November with this coupon http://amzn.to/hCBCT3 . (US only),"['US', 'Amazon MP3', 'Arms', 'rest', 'coupon', 'Amazon', 'Infinite Arms', 'MP3', 'Infinite', 'now']"
48593091967451137,@Tayla_B don't take brownies from strangers!!!! (you're welcome),"[""you're"", 'don', 'brownies', 'welcome', 'strangers', ""you're welcome"", 'Talya']"
46262052821536768,My prayers and love go out to our brothers and sisters in Japan.,"['and', 'love', 'brothers', 'prayers', 'brothers and sisters', 'sisters', 'go', 'Japan', 'out']"
50271243559124992,5 Ways Retailers Are Winning Big With Facebook Commerce - http://on.mash.to/fqAEn9,"['Big', 'Facebook', 'Retailers', 'Commerce']"
49897323517583360,Tune into #msnbc for live cvg of Obama mini-press avail in Chile. About 2 mins away. #libya,"['libya', 'away', 'avail', 'live', 'Chile', 'cvg', 'msnbc', 'mins', 'Tune', 'Obama']"
49748582445744129,Don't u hate when u go to sleep then wake up with a stuffy nose? #annoyed,"['Don', 'u go', 'wake', 'up', 'to', 'u', 'nose', 'wake up', 'go', 'sleep', 'go to sleep', 'hate', 'stuffy', 'stuffy nose']"
14216474134577152,I enjoyed my meeting yesterday with former President Bill Clinton as we exchanged views on many topics including healthcare and education,"['exchanged', 'we', 'Clinton', 'views', 'Bill Clinton', 'topics', 'Bill', 'yesterday', 'healthcare', 'President', 'education', 'meeting']"
27491716130934784,BOH and Cee Lo Green Split 7 Now Available at Indie Retail: http://bit.ly/geGSPD,"['Cee', 'Retail', 'Indie', 'Lo', 'BOH', 'Green', 'Split', '7', 'Now', 'Cee Lo Green']"
43418534432350208,#igotthehottestchickinthegamewearingmychain,[]
47526775621816321,"It's a completely relevant way to answer the phone, MARtin RT @martinTHESET: ""And then I said, KEYTAR??.....whyyy NOT?"" - @emilyosment","['RT', 'relevant', 'phone', 'KEYTAR', 'way', 'MARtin', 'answer', 'the']"
49279087482650624,@Prilskii I'm in the A!!!,[]
43711491152691200,"LOL, I love chatting to crazy academics.",[]
43465352172150784,RT @PusseePosse: I hate you! Lol RT @DontTweetMeHOE Fuck PETA *cuts my steak while wearing my leather coat & puppy fur slippers*,[]
47801173515829248,a little piece of an unfinished thing from a work in progress. http://www.twitvid.com/FT9SZ,[]
48345724227821568,And still the #RND stuff pours in... Odd things I've done for Comic Relief over the past 20 years http://t.co/Ue7Fc3W,"['Comic Relief', 've', 'RND', 'past', 'stuff', 'Relief', 'Comic', 'still', 'Odd']"
49711933183635456,genius or clueless? hard to say. RT @rougevelvet Someone at JB HiFi with a sense of humour? http://yfrog.com/gygvnuxj,"['RT', 'clueless', 'JB HiFi', 'humour', 'to', 'of', 'hard', 'HiFi', 'genius', 'say', 'sense', 'sense of humour', 'JB']"
17958624957566976,The Devil is a liar! Thank God for giving you to chance to see this beautiful morning. I'm thankful and very blessed.,"['beautiful', 'Devil', 'liar', 'God', 'blessed', 'morning', 'thankful', 'chance', 'beautiful morning', 'you', ""I'm""]"
49904154927308801,"Pres. Obama reiterates ""US policy"" that Khadaffi has to go but separates it from the military campaign. sticking to humanitarian effort","['military campaign', 'campaign', 'humanitarian', 'US', 'go', 'separates', 'policy', 'military', 'Pres', 'Obama']"
46428897868386304,We must get out of this Slump. We have to stay together. Go Hawks!,"['We', 'stay together', 'get', 'Hawks', 'Slump', 'stay', 'must get out', 'together', 'Go', 'out', 'must']"
50035202294169600,"RT @stacyherbert: U.S. fires 110 tomahawk missiles, each costs $569,000.  That's more than 5  years of NPR federal funding in less than  ...","['RT', '5 years', 'missiles', 'funding', 'federal', 'tomahawk', 'tomahawk missiles', 'years', 'fires', 'costs', '5', 'federal funding', 'NPR', 'more']"
50166390631579649,"Had one of the best nights of my life at the premiere of Betty Blue Eyes at the Novello. All of Alan Bennett's wit, plus a wonder pig. Run!","['Blue', 'one', 'wit', 'best', 'wonder', 'Eyes', 'nights', 'Run', 'Alan', 'life', 'my life', 'premiere', 'Novello', 'Betty', 'Alan Bennett', 'the best', 'pig', 'Bennett', 'Betty Blue Eyes', 'plus', 'the', 'my']"
50035015194648576,@yosoyjuanson are you REALLY in tasmania?? go to the MONA MUSEUM!! email me & i'll tell you who to talk to there!!!,"['me', 'll', 'MONA', 'MUSEUM', 'who', 'email', 'tell', 'are', 'go', 'you', 'tasmania', 'talk']"
50033711361699840,@neilhimself are you following 666 people on PURPOSE?,"['you', 'PURPOSE', 'are', 'people']"
43592597301764097,Sceptics unconvinced as concerns remain about mogul's media dominance - http://newzfor.me/0/1m10,"['mogul', 'dominance', 'Sceptics', 'media']"
50036269878755328,@yosoyjuanson HA. i could so take that the wrong way. big kiss & i hope i get to see you in NYc soon. JUAAAAAAAAAAAAAAAAAAAAAAN #1,"['kiss', 'that', 'big', 'wrong way', 'see', 'to', 'wrong', 'NYc', 'take', 'way', 'i hope', 'take that', 'you', 'see you', 'way big', 'hope', 'to see you']"
50008872756318208,today is world forest day!!! forests are super important to all of us in AFF. do you have pictures of your favorite foresty spots?,"['do', 'all', 'all of us', 'do you', 'of', 'AFF', 'pictures', 'favorite', 'forests', 'us', 'forest', 'world', 'world forest day', 'you', 'super', 'day', 'today']"
48448931780247552,A little more about my dad: http://bit.ly/gGhEGN #fgs,"['dad', 'little', 'fgs', 'little more', 'more']"
48240787942682624,@PerezHilton wooohooo! Welcome back home slice ;),[]
43720652296949760,UPDATE 1-CIC official: not heard of plans to buy Glencore stake - http://newzfor.me/0/1ff1,"['CIC', 'buy', 'Glencore', 'official', 'UPDATE', 'stake', 'heard']"
50171081218195456,"By the way, if you liked Fast and Loose from @1danpatterson, there's a petition to keep it going here - http://t.co/zF831OA",[]
50188961729085440,lately @zoecello & @kristinhersh. @ RT @NMEmagazine - who are your favourite musicians to follow on Twitter?,"['RT', 'on', 'favourite', 'Twitter', 'who', 'follow on', 'musicians', 'follow', 'lately']"
43013322643218432,"Word Lens -- translate printed words instantly using your iPhone 4, 3gs, or iTouch 4 video camera ://questvisual.com/",[]
43303865902301184,"#americanidol lauren Alaina killed it ,","['lauren Alaina', 'lauren', 'americanidol', 'killed', 'Alaina']"
28867146285,It is with sadness that we mourn the late Sheikh Saqr bin Mohammad AlQassimi & we ask the Almighty to rest his soul in eternal peace,"['bin', 'Mohammad', 'we', 'peace', 'eternal', 'soul', 'rest', 'Sheikh', 'Almighty', 'sadness', 'mourn', 'ask', 'eternal peace']"
49759546402545665,Photo http://goo.gl/fb/o6AE2,['Photo']
43708316169412608,"im #teamkim @lilkim cause she keep it 100,#truthteller",[]
47600772791279617,Good HIV charity just launched on Twitter! Do RT and follow @PositiveEast for updates of their goings on and great ways to get involved,"['RT', 'Do', 'Good', 'HIV', 'get', 'involved', 'Twitter', 'updates', 'get involved', 'follow', 'launched', 'charity']"
42934725425373184,Website usability - diarise watching someone using your site every month. You'll learn a lot about the 'user experience' you provide.,"['Website', 'watching', 'Website usability', 'll', 'experience', 'month', 'user experience', 'user', 'lot', 'learn', 'You', 'usability']"
48420442393939968,White House says Obama will deliver a statement on Japan in the Rose Garden at 3:30 P.M. ET,"['White House', 'M', 'Garden', 'Rose', 'House', 'ET', 'deliver', 'will', 'P', '3', 'at', 'statement', 'Rose Garden', 'Japan', 'White', 'P M', 'Obama']"
49277674291593218,RT @TeddyRuxpinGQ: Must we take everything to the twitter....geesh I ain't no puntaaaaaaaaaaaaaa&lt; ROFL! I keep my pajamas clean!,"['RT', 'we', 'twitter', 'ain', 'ROFL', 'everything', 'take everything', 'take', 'clean', 'keep', 'pajamas', 'Must']"
49238220097077248,@iAmJmoreen Prayin for ya!,"['ya', 'Praying']"
42942980734193664,How to pick a digital agency: choose them on their work and not only on their reputation.,"['agency', 'to', 'How to', 'How', 'digital agency', 'digital', 'pick', 'work', 'reputation']"
50257816258232321,Firefox 4 Has Arrived - http://on.mash.to/dYE6Fu,"['Firefox', '4', 'Firefox 4']"
48732339039248384,Amazing Johann Hari interview with Gideon Levi. What a man. http://t.co/FEX5MY9,"['What', 'Johann Hari', 'Hari', 'a man', 'Johann', 'Gideon', 'Amazing', 'interview', 'Levi', 'man']"
40763853595877376,Most of todays challenges go beyond national borders. Many are inter-related. And no country can tackle them on its own,"['national borders', 'beyond', 'country', 'national', 'tackle', 'can', 'go', 'no country', 'borders', 'inter']"
49574631132233729,RT @TeddyRuxpinGQ: #100FactsAboutMe @NICQUEENCOLE is my favorite cousin...&lt; AWw love you cuz!,"['RT', 'love', 'favorite', 'my favorite', 'cuz', 'love you', 'cousin', 'you', 'my']"
49282351712317440,trying to figure out when and where @mountkimbie is playing tonight... They are awesome!,[]
